"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10220849,3.458,37.458,1.025,170.476,0.006,552.27,22.989,33.931,11.12,170.798,0.064,23.613,32.447,-10.095,-0.624,1.484,-0.058,"POLYGON ((37.416665796999951 3.4166664269999885, 37.499999129999949 3.4166664269999885, 37.499999129999949 3.4999997599999886, 37.416665796999951 3.4999997599999886, 37.416665796999951 3.4166664269999885))"
10221155,2.542,36.958,0,163.902,0,495.39,20.617,32.409,15.095,165.864,0.091,21.305,30.929,-15.095,-0.688,1.48,-0.091,"POLYGON ((36.916665798999958 2.4999997639999876, 36.999999131999957 2.4999997639999876, 36.999999131999957 2.5833330969999877, 36.916665798999958 2.5833330969999877, 36.916665798999958 2.4999997639999876))"
10221179,0.958,39.042,0.35,168.886,0.002,555.285,23.761,33.267,9.62,164.034,0.045,23.799,32.83,-9.27,-0.038,0.438,-0.043,"POLYGON ((38.999999123999942 0.91666643699998929, 39.083332456999941 0.91666643699998929, 39.083332456999941 0.9999997699999893, 38.999999123999942 0.9999997699999893, 38.999999123999942 0.91666643699998929))"
10221204,3.125,38.208,1.25,171.971,0.007,538.425,22.55,33.392,4.066,168.044,0.022,23.324,31.932,-2.816,-0.774,1.46,-0.015,"POLYGON ((38.166665793999954 3.0833330949999862, 38.249999126999953 3.0833330949999862, 38.249999126999953 3.1666664279999863, 38.166665793999954 3.1666664279999863, 38.166665793999954 3.0833330949999862))"
10221206,2.292,38.958,0,175.225,0,556.575,23.41,33.768,3.549,165.876,0.018,24.012,32.671,-3.549,-0.601,1.097,-0.018,"POLYGON ((38.916665790999957 2.2499997649999841, 38.999999123999956 2.2499997649999841, 38.999999123999956 2.3333330979999842, 38.916665790999957 2.3333330979999842, 38.916665790999957 2.2499997649999841))"
10221256,4.292,36.958,6.65,168.401,0.039,514.215,21.456,32.831,32.184,158.874,0.207,22.134,31.548,-25.534,-0.678,1.283,-0.168,"POLYGON ((36.916665798999958 4.2499997569999834, 36.999999131999957 4.2499997569999834, 36.999999131999957 4.3333330899999831, 36.916665798999958 4.3333330899999831, 36.916665798999958 4.2499997569999834))"
10221332,3.958,36.625,13.625,168.62,0.081,546.495,22.66,33.852,20.694,171.009,0.129,23.144,32.529,-7.069,-0.484,1.323,-0.048,"POLYGON ((36.583332466999963 3.9166664249999883, 36.666665799999961 3.9166664249999883, 36.666665799999961 3.9999997579999884, 36.583332466999963 3.9999997579999884, 36.583332466999963 3.9166664249999883))"
10221571,3.708,36.458,18.075,169.247,0.107,569.325,23.598,34.589,11.937,174.437,0.076,23.947,33.266,6.138,-0.349,1.324,0.031,"POLYGON ((36.416665800999965 3.6666664259999848, 36.499999133999964 3.6666664259999848, 36.499999133999964 3.7499997589999849, 36.416665800999965 3.7499997589999849, 36.416665800999965 3.6666664259999848))"
10221616,1.125,36.958,1.4,151.619,0.009,385.07,16.807,28.865,31.668,143.058,0.193,17.565,28.114,-30.268,-0.759,0.751,-0.183,"POLYGON ((36.916665798999958 1.0833331029999869, 36.999999131999957 1.0833331029999869, 36.999999131999957 1.1666664359999868, 36.916665798999958 1.1666664359999868, 36.916665798999958 1.0833331029999869))"
10221622,1.292,36.792,7.5,152.059,0.049,374.275,16.244,28.707,28.02,146.693,0.152,17.093,27.8,-20.52,-0.849,0.908,-0.102,"POLYGON ((36.74999913299996 1.2499997689999844, 36.833332465999959 1.2499997689999844, 36.833332465999959 1.3333331019999843, 36.74999913299996 1.3333331019999843, 36.74999913299996 1.2499997689999844))"
10221659,2.792,39.208,0.5,175.83,0.003,547.53,23.065,33.488,17.497,162.09,0.123,23.837,32.501,-16.997,-0.772,0.986,-0.12,"POLYGON ((39.166665789999939 2.7499997629999839, 39.249999122999938 2.7499997629999839, 39.249999122999938 2.8333330959999841, 39.166665789999939 2.8333330959999841, 39.166665789999939 2.7499997629999839))"
10221715,0.542,38.625,0,160.18,0,510.81,22.244,31.81,19.132,157.088,0.084,22.26,31.642,-19.132,-0.016,0.168,-0.084,"POLYGON ((38.583332458999962 0.49999977199998824, 38.666665791999961 0.49999977199998824, 38.666665791999961 0.58333310499998825, 38.583332458999962 0.58333310499998825, 38.583332458999962 0.49999977199998824))"
10221753,2.375,38.792,0,174.632,0,556.405,23.387,33.784,3.619,166.109,0.018,23.999,32.581,-3.619,-0.612,1.203,-0.018,"POLYGON ((38.74999912499996 2.33333309799999, 38.833332457999958 2.33333309799999, 38.833332457999958 2.41666643099999, 38.74999912499996 2.41666643099999, 38.74999912499996 2.33333309799999))"
10221884,0.625,39.125,0.525,166.019,0.003,543.82,23.462,32.793,15.127,161.978,0.084,23.361,32.543,-14.602,0.101,0.25,-0.081,"POLYGON ((39.083332456999955 0.583333104999987, 39.166665789999954 0.583333104999987, 39.166665789999954 0.666666437999987, 39.083332456999955 0.666666437999987, 39.083332456999955 0.583333104999987))"
10221956,0.708,37.542,0,151.336,0,426.585,18.833,29.606,30.352,143.91,0.172,19.295,29.349,-30.352,-0.462,0.257,-0.172,"POLYGON ((37.499999129999964 0.66666643799998582, 37.583332462999962 0.66666643799998582, 37.583332462999962 0.74999977099998583, 37.499999129999964 0.74999977099998583, 37.499999129999964 0.66666643799998582))"
10221958,1.958,36.542,0,161.801,0,515.38,21.529,32.83,15.061,153.701,0.082,21.943,31.582,-15.061,-0.414,1.248,-0.082,"POLYGON ((36.49999913399995 1.916666432999989, 36.583332466999948 1.916666432999989, 36.583332466999948 1.9999997659999889, 36.49999913399995 1.9999997659999889, 36.49999913399995 1.916666432999989))"
10222184,2.292,37.625,0,167.479,0,540.6,22.621,33.44,10.589,169.98,0.053,23.149,31.913,-10.589,-0.529,1.528,-0.053,"POLYGON ((37.583332462999948 2.2499997649999841, 37.666665795999947 2.2499997649999841, 37.666665795999947 2.3333330979999842, 37.583332462999948 2.3333330979999842, 37.583332462999948 2.2499997649999841))"
10222221,0.958,38.458,0,163.421,0,527.86,22.719,32.472,14.515,160.773,0.064,22.873,32.005,-14.515,-0.154,0.467,-0.064,"POLYGON ((38.416665792999964 0.91666643699998929, 38.499999125999963 0.91666643699998929, 38.499999125999963 0.9999997699999893, 38.416665792999964 0.9999997699999893, 38.416665792999964 0.91666643699998929))"
10222231,3.875,37.125,4.85,170.208,0.028,554.13,23.057,34.007,24.065,168.3,0.156,23.613,32.631,-19.215,-0.556,1.376,-0.127,"POLYGON ((37.083332464999955 3.8333330919999895, 37.166665797999954 3.8333330919999895, 37.166665797999954 3.9166664249999896, 37.083332464999955 3.9166664249999896, 37.083332464999955 3.8333330919999895))"
10222236,1.625,37.458,0,159.672,0,467.79,19.938,31.248,12.286,158.178,0.068,20.566,30.138,-12.286,-0.628,1.11,-0.068,"POLYGON ((37.416665796999951 1.5833331009999867, 37.499999129999949 1.5833331009999867, 37.499999129999949 1.6666664339999866, 37.416665796999951 1.6666664339999866, 37.416665796999951 1.5833331009999867))"
10222243,4.042,37.208,10.225,170.298,0.06,546.835,22.798,33.749,14.631,167.235,0.087,23.398,32.413,-4.406,-0.6,1.336,-0.027,"POLYGON ((37.16666579799994 3.9999997579999871, 37.249999130999939 3.9999997579999871, 37.249999130999939 4.0833330909999868, 37.16666579799994 4.0833330909999868, 37.16666579799994 3.9999997579999871))"
10222246,3.542,37.708,4.175,167.631,0.025,482.29,20.198,31.955,9.927,166.351,0.057,21.174,30.491,-5.752,-0.976,1.463,-0.032,"POLYGON ((37.666665795999961 3.4999997599999872, 37.74999912899996 3.4999997599999872, 37.74999912899996 3.5833330929999874, 37.666665795999961 3.5833330929999874, 37.666665795999961 3.4999997599999872))"
10222294,0.458,38.708,0.325,160.13,0.002,512.32,22.336,31.818,23.773,157.651,0.115,22.299,31.692,-23.448,0.037,0.126,-0.113,"POLYGON ((38.666665791999947 0.41666643899998945, 38.749999124999945 0.41666643899998945, 38.749999124999945 0.49999977199998946, 38.666665791999947 0.49999977199998946, 38.666665791999947 0.41666643899998945))"
10222736,2.542,40.208,3.2,177.165,0.018,549.595,23.311,33.338,10.805,164.064,0.078,23.989,33.047,-7.605,-0.678,0.291,-0.06,"POLYGON ((40.166665785999953 2.4999997639999876, 40.249999118999952 2.4999997639999876, 40.249999118999952 2.5833330969999877, 40.166665785999953 2.5833330969999877, 40.166665785999953 2.4999997639999876))"
