"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10285431,1.042,37.958,0,24.082,0,98.505,20.79,27.354,0.025,31.749,0.001,19.751,27.798,-0.025,1.039,-0.444,-0.001,"POLYGON ((37.916665794999943 0.99999976999998808, 37.999999127999942 0.99999976999998808, 37.999999127999942 1.083333102999988, 37.916665794999943 1.083333102999988, 37.916665794999943 0.99999976999998808))"
10285434,0.958,38.042,0,24.087,0,97.895,20.744,27.226,0,31.654,0,19.689,27.753,0,1.056,-0.528,0,"POLYGON ((37.999999127999956 0.91666643699998929, 38.083332460999955 0.91666643699998929, 38.083332460999955 0.9999997699999893, 37.999999127999956 0.9999997699999893, 37.999999127999956 0.91666643699998929))"
10285481,2.458,38.792,0,30.585,0,120.845,22.978,31.402,0,35.649,0,22.076,29.455,0,0.903,1.947,0,"POLYGON ((38.74999912499996 2.4166664309999888, 38.833332457999958 2.4166664309999888, 38.833332457999958 2.4999997639999889, 38.74999912499996 2.4999997639999889, 38.74999912499996 2.4166664309999888))"
10285489,3.458,36.292,0,26.716,0,122.76,23.209,31.561,8.933,36.156,0.266,21.694,30.219,-8.933,1.515,1.342,-0.266,"POLYGON ((36.249999134999939 3.4166664269999885, 36.333332467999938 3.4166664269999885, 36.333332467999938 3.4999997599999886, 36.249999134999939 3.4999997599999886, 36.249999134999939 3.4166664269999885))"
10285533,2.375,38.542,0,29.799,0,119.56,22.946,31.141,1.102,35.723,0.041,21.969,29.34,-1.102,0.977,1.801,-0.041,"POLYGON ((38.499999125999949 2.33333309799999, 38.583332458999948 2.33333309799999, 38.583332458999948 2.41666643099999, 38.499999125999949 2.41666643099999, 38.499999125999949 2.33333309799999))"
10285819,0.292,39.542,0,28.787,0,119.76,23.627,30.421,0,35.493,0,22.158,30.005,0,1.469,0.416,0,"POLYGON ((39.499999121999963 0.24999977299998477, 39.583332454999962 0.24999977299998477, 39.583332454999962 0.33333310599998478, 39.499999121999963 0.33333310599998478, 39.499999121999963 0.24999977299998477))"
10285911,0.708,37.625,0,22.136,0,86.475,19.148,25.463,0,27.978,0,18.264,26.692,0,0.884,-1.229,0,"POLYGON ((37.583332462999948 0.66666643799998582, 37.666665795999947 0.66666643799998582, 37.666665795999947 0.74999977099998583, 37.583332462999948 0.74999977099998583, 37.583332462999948 0.66666643799998582))"
10285954,2.625,40.208,0.042,32.939,0.001,120.768,22.801,31.523,0.045,36.389,0.002,22.098,29.797,-0.003,0.703,1.726,0,"POLYGON ((40.166665785999953 2.5833330969999864, 40.249999118999952 2.5833330969999864, 40.249999118999952 2.6666664299999865, 40.166665785999953 2.6666664299999865, 40.166665785999953 2.5833330969999864))"
10286151,0.208,38.958,0,25.906,0,108.92,22.403,28.651,0,33.342,0,20.988,29.019,0,1.415,-0.368,0,"POLYGON ((38.916665790999957 0.16666643999998598, 38.999999123999956 0.16666643999998598, 38.999999123999956 0.24999977299998596, 38.916665790999957 0.24999977299998596, 38.916665790999957 0.16666643999998598))"
10286167,0.625,38.208,0,23.621,0,94.965,20.396,26.637,0,30.709,0,19.377,27.556,0,1.019,-0.919,0,"POLYGON ((38.166665793999954 0.583333104999987, 38.249999126999953 0.583333104999987, 38.249999126999953 0.666666437999987, 38.166665793999954 0.666666437999987, 38.166665793999954 0.583333104999987))"
10286489,2.458,39.292,0,31.66,0,122.39,23.031,31.628,0.298,35.65,0.01,22.172,29.646,-0.298,0.859,1.982,-0.01,"POLYGON ((39.249999122999952 2.4166664309999888, 39.333332455999951 2.4166664309999888, 39.333332455999951 2.4999997639999889, 39.249999122999952 2.4999997639999889, 39.249999122999952 2.4166664309999888))"
10286733,2.125,39.042,0,30.913,0,122.46,23.288,31.574,0,36.264,0,22.328,29.775,0,0.96,1.799,0,"POLYGON ((38.999999123999942 2.0833330989999865, 39.083332456999941 2.0833330989999865, 39.083332456999941 2.1666664319999867, 38.999999123999942 2.1666664319999867, 38.999999123999942 2.0833330989999865))"
10286772,2.375,38.458,0,29.564,0,119.435,22.948,31.106,0.442,35.759,0.016,21.967,29.333,-0.442,0.981,1.773,-0.016,"POLYGON ((38.416665792999964 2.33333309799999, 38.499999125999963 2.33333309799999, 38.499999125999963 2.41666643099999, 38.416665792999964 2.41666643099999, 38.416665792999964 2.33333309799999))"
10286812,1.625,39.625,0,31.725,0,125.015,23.627,31.917,0.071,36.896,0.002,22.588,30.236,-0.071,1.039,1.681,-0.002,"POLYGON ((39.583332454999947 1.5833331009999867, 39.666665787999946 1.5833331009999867, 39.666665787999946 1.6666664339999866, 39.583332454999947 1.6666664339999866, 39.583332454999947 1.5833331009999867))"
