"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10285431,1.042,37.958,0,106.199,0,427.755,20.643,27.874,0.144,132.452,0.002,20.375,28.228,-0.144,0.268,-0.355,-0.002,"POLYGON ((37.916665794999943 0.99999976999998808, 37.999999127999942 0.99999976999998808, 37.999999127999942 1.083333102999988, 37.916665794999943 1.083333102999988, 37.916665794999943 0.99999976999998808))"
10285434,0.958,38.042,0,105.635,0,425.635,20.602,27.774,0.066,132.091,0.001,20.314,28.183,-0.066,0.288,-0.409,-0.001,"POLYGON ((37.999999127999956 0.91666643699998929, 38.083332460999955 0.91666643699998929, 38.083332460999955 0.9999997699999893, 37.999999127999956 0.9999997699999893, 37.999999127999956 0.91666643699998929))"
10285481,2.458,38.792,0,127.526,0,511.535,22.769,31.299,0.157,146.435,0.001,22.757,29.954,-0.157,0.012,1.345,-0.001,"POLYGON ((38.74999912499996 2.4166664309999888, 38.833332457999958 2.4166664309999888, 38.833332457999958 2.4999997639999889, 38.74999912499996 2.4999997639999889, 38.74999912499996 2.4166664309999888))"
10285489,3.458,36.292,0,122.367,0,516.07,22.799,31.535,14.098,152.727,0.097,22.261,30.762,-14.098,0.538,0.773,-0.097,"POLYGON ((36.249999134999939 3.4166664269999885, 36.333332467999938 3.4166664269999885, 36.333332467999938 3.4999997599999886, 36.249999134999939 3.4999997599999886, 36.249999134999939 3.4166664269999885))"
10285533,2.375,38.542,0,125.244,0,506.825,22.697,31.075,1.102,147.012,0.01,22.634,29.828,-1.102,0.062,1.247,-0.01,"POLYGON ((38.499999125999949 2.33333309799999, 38.583332458999948 2.33333309799999, 38.583332458999948 2.41666643099999, 38.499999125999949 2.41666643099999, 38.499999125999949 2.33333309799999))"
10285819,0.292,39.542,1.625,119.83,0.014,511.02,23.495,30.534,0.133,145.724,0.001,22.853,30.461,1.492,0.642,0.073,0.012,"POLYGON ((39.499999121999963 0.24999977299998477, 39.583332454999962 0.24999977299998477, 39.583332454999962 0.33333310599998478, 39.499999121999963 0.33333310599998478, 39.499999121999963 0.24999977299998477))"
10285911,0.708,37.625,0.425,98.184,0.004,380.03,19.113,26.2,1.026,118.32,0.009,18.847,27.096,-0.601,0.266,-0.896,-0.005,"POLYGON ((37.583332462999948 0.66666643799998582, 37.666665795999947 0.66666643799998582, 37.666665795999947 0.74999977099998583, 37.583332462999948 0.74999977099998583, 37.583332462999948 0.66666643799998582))"
10285954,2.625,40.208,0.042,138.97,0,518.463,22.728,31.794,0.495,149.181,0.003,22.87,30.376,-0.453,-0.141,1.418,-0.003,"POLYGON ((40.166665785999953 2.5833330969999864, 40.249999118999952 2.5833330969999864, 40.249999118999952 2.6666664299999865, 40.166665785999953 2.6666664299999865, 40.166665785999953 2.5833330969999864))"
10286151,0.208,38.958,0.2,110.958,0.002,469.365,22.267,29.008,0.19,137.764,0.002,21.634,29.438,0.01,0.633,-0.43,0,"POLYGON ((38.916665790999957 0.16666643999998598, 38.999999123999956 0.16666643999998598, 38.999999123999956 0.24999977299998596, 38.916665790999957 0.24999977299998596, 38.916665790999957 0.16666643999998598))"
10286167,0.625,38.208,0,103.9,0,414.915,20.347,27.29,0.114,128.699,0.001,19.976,27.949,-0.114,0.372,-0.659,-0.001,"POLYGON ((38.166665793999954 0.583333104999987, 38.249999126999953 0.583333104999987, 38.249999126999953 0.666666437999987, 38.166665793999954 0.666666437999987, 38.166665793999954 0.583333104999987))"
