"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,0.125,140.007,0.001,453.98,20.359,29.885,2.971,160.316,0.016,21.143,29.619,-2.846,-0.784,0.267,-0.015,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,0,146.175,0,411.256,18.823,28.556,0.091,148.732,0.001,20.153,29.02,-0.091,-1.33,-0.464,-0.001,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,0,148.525,0,446,20.241,29.472,0.083,162.49,0.001,21.378,29.962,-0.083,-1.137,-0.49,-0.001,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,0,148.93,0,453.889,20.445,29.778,0.109,161.293,0.001,21.48,30.01,-0.109,-1.036,-0.232,-0.001,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,0,148.314,0,447.913,20.293,29.568,0.091,150.331,0.001,21.482,30.005,-0.091,-1.189,-0.437,-0.001,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,0.975,148.125,0.007,450.909,20.403,29.641,0.09,160.522,0.001,21.46,29.953,0.885,-1.058,-0.312,0.006,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,0,147.611,0,431.213,19.666,29.064,0.083,160.941,0.001,20.847,29.541,-0.083,-1.18,-0.477,-0.001,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10310617,1.292,36.625,72.7,114.061,0.637,269.105,13.53,24.411,22.681,130.823,0.181,13.911,24.348,50.019,-0.381,0.062,0.456,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0,157.303,0,506.9,22.352,31.433,0.253,172.634,0.001,23.135,31.62,-0.253,-0.783,-0.187,-0.001,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,134.068,0,502.385,22.273,31.221,0.398,162.906,0.003,22.281,30.473,-0.398,-0.008,0.747,-0.003,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
