"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,0,152.395,0,470.099,20.41,30.888,1.944,167.08,0.012,21.483,30.082,-1.944,-1.073,0.805,-0.012,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,0,155.489,0,426.509,18.882,29.512,0.091,153.783,0.001,20.492,29.569,-0.091,-1.61,-0.057,-0.001,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,0,157.646,0,460.633,20.317,30.359,0.083,168.4,0.001,21.712,30.462,-0.083,-1.395,-0.102,-0.001,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,0,158.136,0,468.395,20.497,30.686,0.083,167.494,0.001,21.816,30.505,-0.083,-1.318,0.181,-0.001,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,0,157.062,0,462.029,20.331,30.471,0.091,155.413,0.001,21.833,30.537,-0.091,-1.502,-0.066,-0.001,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,0.975,157.45,0.006,465.21,20.444,30.563,0.103,166.644,0.001,21.796,30.445,0.872,-1.352,0.118,0.005,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,0,156.517,0,445.679,19.717,29.986,0.083,167.028,0.001,21.177,30.045,-0.083,-1.46,-0.059,-0.001,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10310617,1.292,36.625,61.075,128.449,0.475,283.845,13.384,25.539,19.29,138.002,0.145,14.111,24.854,41.785,-0.726,0.685,0.33,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0,164.287,0,520.126,22.414,32.197,0.222,179.384,0.001,23.472,32.122,-0.222,-1.058,0.075,-0.001,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,146.399,0,515.27,22.264,32.088,1.328,170.55,0.008,22.593,30.929,-1.328,-0.329,1.159,-0.008,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,28.15,131.921,0.213,358.755,16.301,27.616,10.075,143.765,0.072,16.789,26.84,18.075,-0.488,0.776,0.141,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,0,167.709,0,541.174,23.177,32.832,0.036,184.123,0,23.976,32.652,-0.036,-0.799,0.18,0,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311924,2.625,38.125,0.15,153.653,0.001,501.621,21.559,31.861,0.083,176.23,0,22.319,30.613,0.068,-0.76,1.248,0.001,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,49.1,133.858,0.367,438.445,19.475,29.755,40.253,145.084,0.283,19.57,29.11,8.847,-0.095,0.644,0.084,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,2.475,147.868,0.017,535.305,22.878,32.845,1.951,167.923,0.011,23.396,31.788,0.524,-0.518,1.056,0.006,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
10312322,0.708,39.208,0,155.489,0,528.875,23.333,31.926,0.017,175.996,0,23.191,31.773,-0.017,0.142,0.153,0,"POLYGON ((39.166665789999939 0.66666643799998582, 39.249999122999938 0.66666643799998582, 39.249999122999938 0.74999977099998583, 39.166665789999939 0.74999977099998583, 39.166665789999939 0.66666643799998582))"
