"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,0,51.73,0,97.694,19.677,28.236,0,34.314,0,20.409,27.976,0,-0.732,0.26,0,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,3.438,26.942,0.128,71.59,16.678,23.777,0.091,30.107,0.003,19.194,26.894,3.346,-2.516,-3.117,0.125,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,1.729,34.517,0.05,81.857,17.975,25.413,0.03,33.496,0.001,20.52,28.138,1.699,-2.545,-2.726,0.049,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,2.125,32.068,0.066,83.047,18.126,25.601,0.074,33.186,0.002,20.636,28.19,2.051,-2.509,-2.589,0.064,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,3.438,26.981,0.127,71.59,16.678,23.777,0.075,30.925,0.002,20.557,28.01,3.363,-3.88,-4.233,0.125,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,3,28.203,0.106,74.403,16.996,24.263,0.074,33.076,0.002,20.611,28.138,2.926,-3.616,-3.876,0.104,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,3.438,26.968,0.127,71.59,16.678,23.777,0.03,32.963,0.001,19.979,27.667,3.408,-3.302,-3.89,0.127,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10285431,1.042,37.958,0,60.202,0,116.396,21.594,31.643,0,31.867,0,20.193,28.097,0,1.401,3.545,0,"POLYGON ((37.916665794999943 0.99999976999998808, 37.999999127999942 0.99999976999998808, 37.999999127999942 1.083333102999988, 37.916665794999943 1.083333102999988, 37.916665794999943 0.99999976999998808))"
10285434,0.958,38.042,0,60.188,0,116.396,21.594,31.643,0,31.749,0,20.132,28.052,0,1.463,3.59,0,"POLYGON ((37.999999127999956 0.91666643699998929, 38.083332460999955 0.91666643699998929, 38.083332460999955 0.9999997699999893, 37.999999127999956 0.9999997699999893, 37.999999127999956 0.91666643699998929))"
10285481,2.458,38.792,0,59.709,0,119.23,22.508,31.558,0,35.527,0,22.466,29.69,0,0.041,1.868,0,"POLYGON ((38.74999912499996 2.4166664309999888, 38.833332457999958 2.4166664309999888, 38.833332457999958 2.4999997639999889, 38.74999912499996 2.4999997639999889, 38.74999912499996 2.4166664309999888))"
