"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10310617,1.292,36.625,12.313,29.801,0.413,67.448,15.128,24.143,3.521,25.029,0.163,13.749,23.005,8.791,1.378,1.138,0.251,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,1.681,39.728,0.042,104.037,20.917,28.808,0.035,33.099,0.002,22.575,29.605,1.645,-1.658,-0.797,0.041,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,71.353,0,128.509,22.962,33.755,1.679,33.065,0.046,21.929,29.227,-1.679,1.033,4.528,-0.046,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,0.562,39.439,0.014,79.239,16.749,25.89,2.662,26.67,0.116,16.401,25.147,-2.1,0.348,0.744,-0.102,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,0.664,48.257,0.014,117.113,22.506,30.955,0.105,33.872,0.003,23.152,30.22,0.559,-0.646,0.735,0.011,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311841,0.708,39.042,0,71.098,0,128.392,23.589,33.094,0,32.543,0,22.299,29.689,0,1.29,3.406,0,"POLYGON ((38.999999123999942 0.66666643799998582, 39.083332456999941 0.66666643799998582, 39.083332456999941 0.74999977099998583, 38.999999123999942 0.74999977099998583, 38.999999123999942 0.66666643799998582))"
10311924,2.625,38.125,0,63.747,0,106.148,20.293,30.033,0,33.324,0,21.521,28.549,0,-1.228,1.484,0,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,0,40.111,0,115.514,22.269,30.735,7.227,28.029,0.241,19.247,27.879,-7.227,3.022,2.856,-0.241,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,0,73.532,0,135.721,24.591,34.3,0.142,33.077,0.006,22.618,30.074,-0.142,1.972,4.226,-0.006,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
10312322,0.708,39.208,0,69.412,0,130.07,23.824,33.339,0,32.916,0,22.556,29.909,0,1.268,3.431,0,"POLYGON ((39.166665789999939 0.66666643799998582, 39.249999122999938 0.66666643799998582, 39.249999122999938 0.74999977099998583, 39.166665789999939 0.74999977099998583, 39.166665789999939 0.66666643799998582))"
10312675,2.792,39.708,2.275,38.035,0.06,101.81,20.565,28.517,0.131,32.154,0.006,22.119,29.139,2.144,-1.554,-0.622,0.053,"POLYGON ((39.66666578799996 2.7499997629999839, 39.749999120999959 2.7499997629999839, 39.749999120999959 2.8333330959999841, 39.66666578799996 2.8333330959999841, 39.66666578799996 2.7499997629999839))"
10312682,0.708,38.292,0,71.047,0,121.219,22.248,32.385,0.248,30.311,0.009,20.378,28.088,-0.248,1.87,4.298,-0.009,"POLYGON ((38.249999126999938 0.66666643799998582, 38.333332459999937 0.66666643799998582, 38.333332459999937 0.74999977099998583, 38.249999126999938 0.74999977099998583, 38.249999126999938 0.66666643799998582))"
10313069,2.208,39.875,0.518,46.933,0.011,116.201,22.319,30.872,0,33.71,0,23.17,30.187,0.518,-0.852,0.685,0.011,"POLYGON ((39.833332453999958 2.1666664319999853, 39.916665786999957 2.1666664319999853, 39.916665786999957 2.2499997649999854, 39.833332453999958 2.2499997649999854, 39.833332453999958 2.1666664319999853))"
10313076,1.458,37.292,0.396,38.299,0.01,89.204,17.519,27.968,0.212,26.719,0.007,15.42,23.955,0.184,2.099,4.013,0.004,"POLYGON ((37.249999130999953 1.4166664349999891, 37.333332463999952 1.4166664349999891, 37.333332463999952 1.499999767999989, 37.249999130999953 1.499999767999989, 37.249999130999953 1.4166664349999891))"
10313090,1.458,37.375,0.396,38.221,0.01,89.204,17.519,27.968,0.188,27.939,0.005,17.526,25.712,0.208,-0.007,2.256,0.005,"POLYGON ((37.333332463999966 1.4166664349999891, 37.416665796999965 1.4166664349999891, 37.416665796999965 1.499999767999989, 37.333332463999966 1.499999767999989, 37.333332463999966 1.4166664349999891))"
10313414,1.042,37.625,0,43.523,0,105.246,19.34,30.717,0.08,27.991,0.002,19.434,27.35,-0.08,-0.094,3.367,-0.002,"POLYGON ((37.583332462999948 0.99999976999998808, 37.666665795999947 0.99999976999998808, 37.666665795999947 1.083333102999988, 37.583332462999948 1.083333102999988, 37.583332462999948 0.99999976999998808))"
10313679,3.292,37.958,1.312,55.902,0.023,111.483,21.303,30.549,0.149,32.257,0.007,21.66,28.823,1.164,-0.356,1.726,0.016,"POLYGON ((37.916665794999943 3.2499997609999838, 37.999999127999942 3.2499997609999838, 37.999999127999942 3.3333330939999839, 37.916665794999943 3.3333330939999839, 37.916665794999943 3.2499997609999838))"
10313681,3.208,36.708,0,74.116,0,131.741,23.921,33.726,0.198,32.903,0.004,22.22,30.251,-0.198,1.702,3.475,-0.004,"POLYGON ((36.666665799999947 3.166666427999985, 36.749999132999946 3.166666427999985, 36.749999132999946 3.2499997609999851, 36.666665799999947 3.2499997609999851, 36.666665799999947 3.166666427999985))"
10313691,1.458,38.958,0,70.121,0,131.891,23.995,33.664,0,33.098,0,22.847,29.922,0,1.148,3.743,0,"POLYGON ((38.916665790999957 1.4166664349999891, 38.999999123999956 1.4166664349999891, 38.999999123999956 1.499999767999989, 38.916665790999957 1.499999767999989, 38.916665790999957 1.4166664349999891))"
10313702,2.292,37.958,0.083,51.363,0.002,92.722,18.355,28.137,0.883,31.248,0.032,17.284,24.962,-0.8,1.072,3.175,-0.03,"POLYGON ((37.916665794999943 2.2499997649999841, 37.999999127999942 2.2499997649999841, 37.999999127999942 2.3333330979999842, 37.916665794999943 2.3333330979999842, 37.916665794999943 2.2499997649999841))"
10313730,1.042,37.542,0,43.511,0,105.246,19.34,30.717,0.08,27.886,0.002,19.269,27.247,-0.08,0.072,3.47,-0.002,"POLYGON ((37.499999129999964 0.99999976999998808, 37.583332462999962 0.99999976999998808, 37.583332462999962 1.083333102999988, 37.499999129999964 1.083333102999988, 37.499999129999964 0.99999976999998808))"
10313826,0.542,38.458,0,69.214,0,120.232,21.97,32.377,0.248,30.671,0.009,20.636,28.346,-0.248,1.334,4.031,-0.009,"POLYGON ((38.416665792999964 0.49999977199998824, 38.499999125999963 0.49999977199998824, 38.499999125999963 0.58333310499998825, 38.416665792999964 0.58333310499998825, 38.416665792999964 0.49999977199998824))"
10313986,2.875,39.625,0.942,41.566,0.023,107.669,21.381,29.381,0.163,32.367,0.008,22.525,29.457,0.779,-1.143,-0.076,0.015,"POLYGON ((39.583332454999947 2.83333309599999, 39.666665787999946 2.83333309599999, 39.666665787999946 2.91666642899999, 39.583332454999947 2.91666642899999, 39.583332454999947 2.83333309599999))"
10314053,2.958,38.208,0.417,62.995,0.007,120.908,22.699,31.846,0.032,32.917,0.001,22.246,29.176,0.385,0.453,2.67,0.005,"POLYGON ((38.166665793999954 2.9166664289999886, 38.249999126999953 2.9166664289999886, 38.249999126999953 2.9999997619999887, 38.166665793999954 2.9999997619999887, 38.166665793999954 2.9166664289999886))"
10314229,3.208,38.958,4.045,38.669,0.105,100.089,20.114,28.483,0.106,31.888,0.005,22.312,29.144,3.939,-2.198,-0.661,0.1,"POLYGON ((38.916665790999957 3.166666427999985, 38.999999123999956 3.166666427999985, 38.999999123999956 3.2499997609999851, 38.916665790999957 3.2499997609999851, 38.916665790999957 3.166666427999985))"
10314308,1.792,37.458,0.188,60.792,0.003,122.438,22.164,32.818,0.323,31.766,0.01,21.122,28.661,-0.136,1.042,4.158,-0.007,"POLYGON ((37.416665796999951 1.7499997669999843, 37.499999129999949 1.7499997669999843, 37.499999129999949 1.8333330999999842, 37.416665796999951 1.8333330999999842, 37.416665796999951 1.7499997669999843))"
