"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10314229,3.208,38.958,0,150.698,0,503.165,22.252,31.292,0.477,165.706,0.002,22.984,31.118,-0.477,-0.731,0.174,-0.002,"POLYGON ((38.916665790999957 3.166666427999985, 38.999999123999956 3.166666427999985, 38.999999123999956 3.2499997609999851, 38.916665790999957 3.2499997609999851, 38.916665790999957 3.166666427999985))"
10314308,1.792,37.458,0,131.599,0,483.66,21.569,30.675,1.956,159.009,0.011,21.5,29.938,-1.956,0.069,0.737,-0.011,"POLYGON ((37.416665796999951 1.7499997669999843, 37.499999129999949 1.7499997669999843, 37.499999129999949 1.8333330999999842, 37.416665796999951 1.8333330999999842, 37.416665796999951 1.7499997669999843))"
10314331,0.958,38.625,0,142.32,0,512.135,23.005,31.137,0.141,165.293,0.001,22.667,30.934,-0.141,0.338,0.203,-0.001,"POLYGON ((38.583332458999962 0.91666643699998929, 38.666665791999961 0.91666643699998929, 38.666665791999961 0.9999997699999893, 38.583332458999962 0.9999997699999893, 38.583332458999962 0.91666643699998929))"
10314431,1.625,36.625,22.325,122.215,0.183,396.505,18.197,28.237,16.057,139.483,0.118,18.227,27.779,6.268,-0.03,0.458,0.064,"POLYGON ((36.583332466999963 1.5833331009999867, 36.666665799999961 1.5833331009999867, 36.666665799999961 1.6666664339999866, 36.583332466999963 1.6666664339999866, 36.583332466999963 1.5833331009999867))"
10314449,1.458,39.708,0,159.03,0,538.15,23.612,32.235,0.156,176.822,0.001,23.772,32.186,-0.156,-0.16,0.049,-0.001,"POLYGON ((39.66666578799996 1.4166664349999891, 39.749999120999959 1.4166664349999891, 39.749999120999959 1.499999767999989, 39.66666578799996 1.499999767999989, 39.66666578799996 1.4166664349999891))"
10314459,1.375,37.042,0.2,120.299,0.002,347.305,16.439,26.715,5.604,138.136,0.041,16.61,26.328,-5.404,-0.171,0.387,-0.039,"POLYGON ((36.999999131999942 1.3333331019999903, 37.083332464999941 1.3333331019999903, 37.083332464999941 1.4166664349999902, 36.999999131999942 1.4166664349999902, 36.999999131999942 1.3333331019999903))"
10314813,2.875,36.958,3.1,130.357,0.024,460.325,20.308,30.38,6.942,160.196,0.043,20.651,29.68,-3.842,-0.343,0.7,-0.02,"POLYGON ((36.916665798999958 2.83333309599999, 36.999999131999957 2.83333309599999, 36.999999131999957 2.91666642899999, 36.916665798999958 2.91666642899999, 36.916665798999958 2.83333309599999))"
10314864,1.792,38.875,0,152.966,0,525.67,23.127,31.926,0.075,168.737,0.001,23.25,31.408,-0.075,-0.123,0.518,-0.001,"POLYGON ((38.833332457999944 1.7499997669999843, 38.916665790999943 1.7499997669999843, 38.916665790999943 1.8333330999999842, 38.833332457999944 1.8333330999999842, 38.833332457999944 1.7499997669999843))"
10315007,1.292,38.625,0,146.02,0,514.25,22.911,31.372,0.058,166.369,0,22.754,30.978,-0.058,0.157,0.394,0,"POLYGON ((38.583332458999962 1.2499997689999844, 38.666665791999961 1.2499997689999844, 38.666665791999961 1.3333331019999843, 38.583332458999962 1.3333331019999843, 38.583332458999962 1.2499997689999844))"
10315177,1.792,36.958,1.725,122.386,0.014,354.01,16.55,26.963,6.949,141.065,0.05,16.876,26.59,-5.224,-0.326,0.373,-0.036,"POLYGON ((36.916665798999958 1.7499997669999843, 36.999999131999957 1.7499997669999843, 36.999999131999957 1.8333330999999842, 36.916665798999958 1.8333330999999842, 36.916665798999958 1.7499997669999843))"
