"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10173120,1.625,39.958,0,40.753,0,137.79,25.027,34.56,2.471,38.11,0.072,24.675,33.555,-2.471,0.353,1.005,-0.072,"POLYGON ((39.916665786999943 1.5833331009999867, 39.999999119999941 1.5833331009999867, 39.999999119999941 1.6666664339999866, 39.916665786999943 1.6666664339999866, 39.916665786999943 1.5833331009999867))"
10173130,3.208,38.792,0,39.778,0,129.595,23.43,33.731,6.3,36.483,0.195,23.319,31.813,-6.3,0.111,1.919,-0.195,"POLYGON ((38.74999912499996 3.166666427999985, 38.833332457999958 3.166666427999985, 38.833332457999958 3.2499997609999851, 38.74999912499996 3.2499997609999851, 38.74999912499996 3.166666427999985))"
10173297,2.875,37.125,0,36.52,0,122.9,21.907,33.207,2.56,40.317,0.08,21.467,31.116,-2.56,0.44,2.091,-0.08,"POLYGON ((37.083332464999955 2.83333309599999, 37.166665797999954 2.83333309599999, 37.166665797999954 2.91666642899999, 37.083332464999955 2.91666642899999, 37.083332464999955 2.83333309599999))"
10173723,2.542,37.542,0.275,37.402,0.007,131.6,23.583,34.203,2.158,39.631,0.064,23.15,31.993,-1.883,0.433,2.21,-0.056,"POLYGON ((37.499999129999964 2.4999997639999876, 37.583332462999962 2.4999997639999876, 37.583332462999962 2.5833330969999877, 37.499999129999964 2.5833330969999877, 37.499999129999964 2.4999997639999876))"
10173724,3.125,38.958,0,39.975,0,129.97,23.514,33.759,6.962,36.551,0.216,23.434,31.922,-6.962,0.08,1.836,-0.216,"POLYGON ((38.916665790999957 3.0833330949999862, 38.999999123999956 3.0833330949999862, 38.999999123999956 3.1666664279999863, 38.916665790999957 3.1666664279999863, 38.916665790999957 3.0833330949999862))"
10173741,1.708,38.708,0,39.062,0,133.625,24.206,34.157,1.033,38.919,0.01,23.914,32.542,-1.033,0.292,1.616,-0.01,"POLYGON ((38.666665791999947 1.6666664339999855, 38.749999124999945 1.6666664339999855, 38.749999124999945 1.7499997669999854, 38.666665791999947 1.7499997669999854, 38.666665791999947 1.6666664339999855))"
10174075,0.125,38.292,0,34.614,0,118.48,22.276,31.576,11.502,34.88,0.304,21.843,31.277,-11.502,0.433,0.299,-0.304,"POLYGON ((38.249999126999938 0.0833331069999872, 38.333332459999937 0.0833331069999872, 38.333332459999937 0.16666643999998718, 38.249999126999938 0.16666643999998718, 38.249999126999938 0.0833331069999872))"
10174101,3.875,37.292,0.15,38.309,0.004,133.985,24.026,34.539,9.822,39.128,0.302,23.291,32.465,-9.672,0.735,2.074,-0.298,"POLYGON ((37.249999130999953 3.8333330919999895, 37.333332463999952 3.8333330919999895, 37.333332463999952 3.9166664249999896, 37.249999130999953 3.9166664249999896, 37.249999130999953 3.8333330919999895))"
10174140,3.958,37.458,0,38.411,0,130.34,23.386,33.99,8.92,38.853,0.274,22.762,31.958,-8.92,0.623,2.032,-0.274,"POLYGON ((37.416665796999951 3.9166664249999883, 37.499999129999949 3.9166664249999883, 37.499999129999949 3.9999997579999884, 37.416665796999951 3.9999997579999884, 37.416665796999951 3.9166664249999883))"
10174398,2.292,38.042,0,36.904,0,107.98,19.636,31.216,3.571,39.555,0.093,19.713,29.184,-3.571,-0.077,2.032,-0.093,"POLYGON ((37.999999127999956 2.2499997649999841, 38.083332460999955 2.2499997649999841, 38.083332460999955 2.3333330979999842, 37.999999127999956 2.3333330979999842, 37.999999127999956 2.2499997649999841))"
