"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,5.188,51.849,0.1,110.321,21.658,29.862,0.157,42.825,0.002,21.817,30.905,5.03,-0.159,-1.043,0.098,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,19.083,29.465,0.648,89.463,19.486,26.072,0.172,38.182,0.005,20.787,30.341,18.912,-1.301,-4.27,0.643,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,5.917,37.311,0.159,99.146,20.627,27.701,0.007,42.425,0,22.038,31.172,5.909,-1.41,-3.472,0.158,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,13.021,35.053,0.371,99.334,20.686,27.695,0.428,42.598,0.007,22.15,31.253,12.593,-1.464,-3.558,0.365,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,19.083,29.527,0.646,89.463,19.486,26.072,0.129,38.714,0.003,22.15,31.329,18.955,-2.664,-5.258,0.643,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,17.75,30.847,0.575,91.33,19.763,26.331,0.426,42.373,0.007,22.125,31.185,17.324,-2.362,-4.854,0.569,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,19.083,29.499,0.647,89.463,19.486,26.072,0.007,42.134,0,21.493,30.763,19.076,-2.007,-4.691,0.647,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10310617,1.292,36.625,20.75,43.933,0.472,87.228,17.232,27.691,0.898,36.343,0.027,14.457,26.04,19.852,2.774,1.651,0.445,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,8.858,42.446,0.209,117.549,22.794,30.791,0,46.062,0,23.847,32.939,8.858,-1.052,-2.148,0.209,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,75.134,0,133.82,23.546,34.954,0,45.251,0,23.029,31.962,0,0.517,2.993,0,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,0.063,54.605,0.001,94.049,17.711,29.16,0.183,38.055,0.005,17.209,28.04,-0.12,0.501,1.12,-0.004,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,10.292,49.835,0.207,127.372,24.011,32.381,0,47.894,0,24.389,33.554,10.292,-0.378,-1.173,0.207,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311924,2.625,38.125,0.125,66.938,0.002,115.462,21.304,31.685,0,46.115,0,22.71,31.522,0.125,-1.406,0.163,0.002,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,4.625,50.974,0.091,132.183,23.844,33.923,1.438,38.918,0.035,20.047,30.31,3.187,3.797,3.612,0.055,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,0.812,76.707,0.011,140.308,25.142,35.882,0,44.021,0,23.826,32.752,0.812,1.317,3.129,0.011,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
10312322,0.708,39.208,0.438,66.465,0.007,135.888,24.464,34.574,0,46.985,0,23.657,32.987,0.438,0.808,1.588,0.007,"POLYGON ((39.166665789999939 0.66666643799998582, 39.249999122999938 0.66666643799998582, 39.249999122999938 0.74999977099998583, 39.166665789999939 0.74999977099998583, 39.166665789999939 0.66666643799998582))"
10312675,2.792,39.708,15.483,40.39,0.383,115.471,22.553,30.439,0,45.006,0,23.387,32.466,15.483,-0.834,-2.028,0.383,"POLYGON ((39.66666578799996 2.7499997629999839, 39.749999120999959 2.7499997629999839, 39.749999120999959 2.8333330959999841, 39.66666578799996 2.8333330959999841, 39.66666578799996 2.7499997629999839))"
10312682,0.708,38.292,0,70.693,0,127.497,22.693,33.741,0,43.722,0,21.388,31.17,0,1.306,2.571,0,"POLYGON ((38.249999126999938 0.66666643799998582, 38.333332459999937 0.66666643799998582, 38.333332459999937 0.74999977099998583, 38.249999126999938 0.74999977099998583, 38.249999126999938 0.66666643799998582))"
10313069,2.208,39.875,3.646,49.93,0.073,126.936,23.944,32.324,0.192,47.547,0.002,24.415,33.499,3.453,-0.472,-1.175,0.071,"POLYGON ((39.833332453999958 2.1666664319999853, 39.916665786999957 2.1666664319999853, 39.916665786999957 2.2499997649999854, 39.833332453999958 2.2499997649999854, 39.833332453999958 2.1666664319999853))"
10313076,1.458,37.292,3.688,46.708,0.079,99.923,18.273,30.277,0,38.559,0,16.281,27.157,3.688,1.992,3.12,0.079,"POLYGON ((37.249999130999953 1.4166664349999891, 37.333332463999952 1.4166664349999891, 37.333332463999952 1.499999767999989, 37.249999130999953 1.499999767999989, 37.249999130999953 1.4166664349999891))"
10313090,1.458,37.375,3.688,46.748,0.079,99.923,18.273,30.277,0,39.811,0,18.439,28.755,3.688,-0.166,1.522,0.079,"POLYGON ((37.333332463999966 1.4166664349999891, 37.416665796999965 1.4166664349999891, 37.416665796999965 1.499999767999989, 37.333332463999966 1.499999767999989, 37.333332463999966 1.4166664349999891))"
10313414,1.042,37.625,0.062,53.446,0.001,113.932,19.814,32.723,0,40.165,0,20.373,30.301,0.062,-0.559,2.422,0.001,"POLYGON ((37.583332462999948 0.99999976999998808, 37.666665795999947 0.99999976999998808, 37.666665795999947 1.083333102999988, 37.583332462999948 1.083333102999988, 37.583332462999948 0.99999976999998808))"
10313681,3.208,36.708,0,81.19,0,139.51,24.967,35.686,0,43.691,0,23.4,32.841,0,1.567,2.845,0,"POLYGON ((36.666665799999947 3.166666427999985, 36.749999132999946 3.166666427999985, 36.749999132999946 3.2499997609999851, 36.666665799999947 3.2499997609999851, 36.666665799999947 3.166666427999985))"
10313691,1.458,38.958,0.188,66.477,0.003,136.944,24.78,34.603,0,46.84,0,24.007,33.034,0.188,0.773,1.569,0.003,"POLYGON ((38.916665790999957 1.4166664349999891, 38.999999123999956 1.4166664349999891, 38.999999123999956 1.499999767999989, 38.916665790999957 1.499999767999989, 38.916665790999957 1.4166664349999891))"
10313702,2.292,37.958,1.375,53.478,0.026,101.707,19.411,29.648,1.119,45.048,0.026,18.351,28.263,0.256,1.059,1.385,-0.001,"POLYGON ((37.916665794999943 2.2499997649999841, 37.999999127999942 2.2499997649999841, 37.999999127999942 2.3333330979999842, 37.916665794999943 2.3333330979999842, 37.916665794999943 2.2499997649999841))"
10313730,1.042,37.542,0.062,53.427,0.001,113.932,19.814,32.723,0,39.928,0,20.193,30.178,0.062,-0.38,2.545,0.001,"POLYGON ((37.499999129999964 0.99999976999998808, 37.583332462999962 0.99999976999998808, 37.583332462999962 1.083333102999988, 37.499999129999964 1.083333102999988, 37.499999129999964 0.99999976999998808))"
10313826,0.542,38.458,0.375,67.343,0.006,126.156,22.589,33.455,0,44.219,0,21.654,31.431,0.375,0.936,2.024,0.006,"POLYGON ((38.416665792999964 0.49999977199998824, 38.499999125999963 0.49999977199998824, 38.499999125999963 0.58333310499998825, 38.416665792999964 0.58333310499998825, 38.416665792999964 0.49999977199998824))"
10313986,2.875,39.625,9.254,45.043,0.205,121.508,23.37,31.346,0,45.017,0,23.804,32.72,9.254,-0.434,-1.374,0.205,"POLYGON ((39.583332454999947 2.83333309599999, 39.666665787999946 2.83333309599999, 39.666665787999946 2.91666642899999, 39.583332454999947 2.91666642899999, 39.583332454999947 2.83333309599999))"
10314053,2.958,38.208,1.938,62.944,0.031,129.252,23.868,33.061,0.03,45.088,0.001,23.477,32.107,1.907,0.392,0.954,0.03,"POLYGON ((38.166665793999954 2.9166664289999886, 38.249999126999953 2.9166664289999886, 38.249999126999953 2.9999997619999887, 38.166665793999954 2.9999997619999887, 38.166665793999954 2.9166664289999886))"
10314229,3.208,38.958,18.729,42.7,0.439,115.241,22.807,30.11,0,44.218,0,23.586,32.238,18.729,-0.779,-2.129,0.439,"POLYGON ((38.916665790999957 3.166666427999985, 38.999999123999956 3.166666427999985, 38.999999123999956 3.2499997609999851, 38.916665790999957 3.2499997609999851, 38.916665790999957 3.166666427999985))"
10314308,1.792,37.458,0.062,65.776,0.001,128.94,22.661,34.179,0,43.846,0,22.155,31.424,0.062,0.506,2.755,0.001,"POLYGON ((37.416665796999951 1.7499997669999843, 37.499999129999949 1.7499997669999843, 37.499999129999949 1.8333330999999842, 37.416665796999951 1.8333330999999842, 37.416665796999951 1.7499997669999843))"
10314331,0.958,38.625,0.062,72.752,0.001,134.378,23.884,34.781,0,45.991,0,23.309,32.578,0.062,0.575,2.203,0.001,"POLYGON ((38.583332458999962 0.91666643699998929, 38.666665791999961 0.91666643699998929, 38.666665791999961 0.9999997699999893, 38.583332458999962 0.9999997699999893, 38.583332458999962 0.91666643699998929))"
10314431,1.625,36.625,0,60.075,0,120.869,21.895,32.639,0.988,38.748,0.021,18.857,29.331,-0.988,3.038,3.308,-0.021,"POLYGON ((36.583332466999963 1.5833331009999867, 36.666665799999961 1.5833331009999867, 36.666665799999961 1.6666664339999866, 36.583332466999963 1.6666664339999866, 36.583332466999963 1.5833331009999867))"
10314449,1.458,39.708,1.563,57.09,0.027,134.127,24.656,33.737,0,48.193,0,24.407,33.583,1.563,0.249,0.154,0.027,"POLYGON ((39.66666578799996 1.4166664349999891, 39.749999120999959 1.4166664349999891, 39.749999120999959 1.499999767999989, 39.66666578799996 1.499999767999989, 39.66666578799996 1.4166664349999891))"
10314459,1.375,37.042,0.125,45.782,0.003,93.352,17.438,29.234,0.002,38.273,0,17.187,27.946,0.123,0.251,1.288,0.003,"POLYGON ((36.999999131999942 1.3333331019999903, 37.083332464999941 1.3333331019999903, 37.083332464999941 1.4166664349999902, 36.999999131999942 1.4166664349999902, 36.999999131999942 1.3333331019999903))"
10314813,2.875,36.958,2.125,67.837,0.031,118.416,21.347,32.486,0.303,43.389,0.008,21.333,31.076,1.823,0.014,1.409,0.024,"POLYGON ((36.916665798999958 2.83333309599999, 36.999999131999957 2.83333309599999, 36.999999131999957 2.91666642899999, 36.916665798999958 2.91666642899999, 36.916665798999958 2.83333309599999))"
10314864,1.792,38.875,0.188,67.732,0.003,135.815,24.52,34.527,0,46.335,0,23.883,32.801,0.188,0.637,1.726,0.003,"POLYGON ((38.833332457999944 1.7499997669999843, 38.916665790999943 1.7499997669999843, 38.916665790999943 1.8333330999999842, 38.833332457999944 1.8333330999999842, 38.833332457999944 1.7499997669999843))"
10315007,1.292,38.625,0,73.739,0,137.371,24.418,35.246,0,46.12,0,23.386,32.523,0,1.032,2.723,0,"POLYGON ((38.583332458999962 1.2499997689999844, 38.666665791999961 1.2499997689999844, 38.666665791999961 1.3333331019999843, 38.583332458999962 1.3333331019999843, 38.583332458999962 1.2499997689999844))"
