"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10226215,3.625,38.125,0,42.554,0,117.109,20.774,32.504,0,41.575,0,22.121,30.873,0,-1.347,1.631,0,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10489419,3.458,39.542,0,41.659,0,104.244,18.903,30.709,0,37.528,0,21.001,30.171,0,-2.098,0.537,0,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10209095,3.625,39.708,0,42.455,0,112.653,20.412,31.636,0,41.279,0,22.246,31.072,0,-1.834,0.564,0,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10280360,3.375,39.458,0,42.498,0,113.92,20.509,31.854,0,41.229,0,22.362,31.164,0,-1.853,0.69,0,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10319287,3.458,39.458,0,41.866,0,110.524,20.202,31.376,0,37.994,0,22.385,31.161,0,-2.182,0.215,0,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,0,42.358,0,111.77,20.401,31.503,0,41.016,0,22.352,31.109,0,-1.951,0.394,0,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10205427,3.542,39.625,0,41.781,0,107.759,19.691,31.057,0,40.986,0,21.7,30.667,0,-2.009,0.39,0,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10310617,1.292,36.625,0.4,36.446,0.011,71.45,13.061,27.353,1.242,35.26,0.037,14.458,25.824,-0.842,-1.397,1.529,-0.026,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0,43.175,0,125.241,22.239,33.269,0,44.283,0,23.943,32.74,0,-1.704,0.529,0,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,40.398,0,125.085,22.333,33.406,1.038,43.37,0.024,23.205,31.862,-1.038,-0.872,1.544,-0.024,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,0,37.263,0,88.685,16.094,29.244,0.406,36.8,0.012,17.252,27.844,-0.406,-1.158,1.401,-0.012,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,0,44.212,0,130.074,22.938,33.93,0.002,45.623,0,24.406,33.289,-0.002,-1.468,0.641,0,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311924,2.625,38.125,0,42.238,0,122.211,21.486,33.341,0,44.411,0,22.934,31.469,0,-1.448,1.872,0,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,0,37.634,0,107.755,19.481,31.306,4.62,37.218,0.13,20.084,30.094,-4.62,-0.603,1.212,-0.13,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,0,41.471,0,132.055,23.391,34.407,0.155,42.313,0.004,24.105,32.679,-0.155,-0.714,1.729,-0.004,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
