"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10310617,1.292,36.625,28.125,23.332,1.205,62.975,13.913,23.795,3.513,25.675,0.161,13.807,23.339,24.612,0.105,0.456,1.045,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0,35.512,0,121.736,22.92,31.694,0,32.963,0,22.806,30.411,0,0.114,1.283,0,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
10311295,2.125,37.542,0,26.988,0,116.44,22.379,30.89,0.21,33.699,0.006,22.002,29.647,-0.21,0.377,1.243,-0.006,"POLYGON ((37.499999129999964 2.0833330989999865, 37.583332462999962 2.0833330989999865, 37.583332462999962 2.1666664319999867, 37.499999129999964 2.1666664319999867, 37.499999129999964 2.0833330989999865))"
10311303,1.458,36.792,6.925,24.444,0.283,79.103,16.64,25.82,2.105,27.454,0.081,16.456,25.474,4.82,0.184,0.346,0.203,"POLYGON ((36.74999913299996 1.4166664349999891, 36.833332465999959 1.4166664349999891, 36.833332465999959 1.499999767999989, 36.74999913299996 1.499999767999989, 36.74999913299996 1.4166664349999891))"
10311345,2.125,40.042,4.475,31.328,0.143,126.379,23.575,32.507,0,33.722,0,23.368,31.025,4.475,0.207,1.481,0.143,"POLYGON ((39.999999119999956 2.0833330989999865, 40.083332452999954 2.0833330989999865, 40.083332452999954 2.1666664319999867, 39.999999119999956 2.1666664319999867, 39.999999119999956 2.0833330989999865))"
10311841,0.708,39.042,0,27.594,0,118.125,23.029,30.721,0,32.571,0,22.504,30.266,0,0.525,0.455,0,"POLYGON ((38.999999123999942 0.66666643799998582, 39.083332456999941 0.66666643799998582, 39.083332456999941 0.74999977099998583, 38.999999123999942 0.74999977099998583, 38.999999123999942 0.66666643799998582))"
10311924,2.625,38.125,0,29.124,0,115.647,21.875,31.091,0,34.066,0,21.632,29.105,0,0.243,1.986,0,"POLYGON ((38.083332460999941 2.5833330969999864, 38.16666579399994 2.5833330969999864, 38.16666579399994 2.6666664299999865, 38.083332460999941 2.6666664299999865, 38.083332460999941 2.5833330969999864))"
10311988,1.458,36.375,7.8,24.437,0.319,96.67,19.461,28.159,5.77,28.617,0.216,19.286,28.067,2.03,0.175,0.091,0.103,"POLYGON ((36.333332467999952 1.4166664349999891, 36.416665800999951 1.4166664349999891, 36.416665800999951 1.499999767999989, 36.333332467999952 1.499999767999989, 36.333332467999952 1.4166664349999891))"
10312266,3.125,37.292,0,28.162,0,123.19,23.159,32.039,0,34.009,0,22.646,30.438,0,0.512,1.6,0,"POLYGON ((37.249999130999953 3.0833330949999862, 37.333332463999952 3.0833330949999862, 37.333332463999952 3.1666664279999863, 37.249999130999953 3.1666664279999863, 37.249999130999953 3.0833330949999862))"
10312322,0.708,39.208,0,27.954,0,120.01,23.289,31,0,32.9,0,22.762,30.499,0,0.527,0.501,0,"POLYGON ((39.166665789999939 0.66666643799998582, 39.249999122999938 0.66666643799998582, 39.249999122999938 0.74999977099998583, 39.166665789999939 0.74999977099998583, 39.166665789999939 0.66666643799998582))"
10312675,2.792,39.708,0,33.568,0,119.136,22.498,31.396,0,32.337,0,22.342,29.926,0,0.156,1.47,0,"POLYGON ((39.66666578799996 2.7499997629999839, 39.749999120999959 2.7499997629999839, 39.749999120999959 2.8333330959999841, 39.66666578799996 2.8333330959999841, 39.66666578799996 2.7499997629999839))"
10312682,0.708,38.292,0,25.613,0,104.645,21.034,28.864,0,30.444,0,20.57,28.603,0,0.465,0.261,0,"POLYGON ((38.249999126999938 0.66666643799998582, 38.333332459999937 0.66666643799998582, 38.333332459999937 0.74999977099998583, 38.249999126999938 0.74999977099998583, 38.249999126999938 0.66666643799998582))"
10313069,2.208,39.875,0.325,31.253,0.01,126.499,23.605,32.501,0,33.618,0,23.384,30.977,0.325,0.221,1.524,0.01,"POLYGON ((39.833332453999958 2.1666664319999853, 39.916665786999957 2.1666664319999853, 39.916665786999957 2.2499997649999854, 39.833332453999958 2.2499997649999854, 39.833332453999958 2.1666664319999853))"
10313076,1.458,37.292,0.2,24.929,0.008,74.56,15.733,25.57,0.3,27.496,0.008,15.501,24.414,-0.1,0.232,1.156,0,"POLYGON ((37.249999130999953 1.4166664349999891, 37.333332463999952 1.4166664349999891, 37.333332463999952 1.499999767999989, 37.249999130999953 1.499999767999989, 37.249999130999953 1.4166664349999891))"
10313090,1.458,37.375,0,25.234,0,87.187,17.894,26.971,0.3,28.664,0.007,17.617,26.151,-0.3,0.277,0.819,-0.007,"POLYGON ((37.333332463999966 1.4166664349999891, 37.416665796999965 1.4166664349999891, 37.416665796999965 1.499999767999989, 37.333332463999966 1.499999767999989, 37.333332463999966 1.4166664349999891))"
10313414,1.042,37.625,0,24.603,0,98.165,19.926,28.121,0.167,28.629,0.003,19.576,27.785,-0.167,0.35,0.336,-0.003,"POLYGON ((37.583332462999948 0.99999976999998808, 37.666665795999947 0.99999976999998808, 37.666665795999947 1.083333102999988, 37.583332462999948 1.083333102999988, 37.583332462999948 0.99999976999998808))"
10313679,3.292,37.958,0,32.555,0,118.005,22.251,31.464,0,33.142,0,21.763,29.337,0,0.489,2.128,0,"POLYGON ((37.916665794999943 3.2499997609999838, 37.999999127999942 3.2499997609999838, 37.999999127999942 3.3333330939999839, 37.916665794999943 3.3333330939999839, 37.916665794999943 3.2499997609999838))"
10313681,3.208,36.708,0,27.313,0,120.89,22.727,31.813,0,33.746,0,22.182,30.503,0,0.545,1.31,0,"POLYGON ((36.666665799999947 3.166666427999985, 36.749999132999946 3.166666427999985, 36.749999132999946 3.2499997609999851, 36.666665799999947 3.2499997609999851, 36.666665799999947 3.166666427999985))"
10313691,1.458,38.958,0,29.183,0,122.825,23.44,31.653,0,33.456,0,23.028,30.561,0,0.412,1.092,0,"POLYGON ((38.916665790999957 1.4166664349999891, 38.999999123999956 1.4166664349999891, 38.999999123999956 1.499999767999989, 38.916665790999957 1.499999767999989, 38.916665790999957 1.4166664349999891))"
