"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10230396,3.292,37.792,1.562,61.671,0.025,120.794,22.831,31.682,10.86,35.949,0.361,21.605,30.217,-9.298,1.226,1.465,-0.335,"POLYGON ((37.749999128999946 3.2499997609999838, 37.833332461999944 3.2499997609999838, 37.833332461999944 3.3333330939999839, 37.749999128999946 3.3333330939999839, 37.749999128999946 3.2499997609999838))"
10230400,3.292,38.292,2.188,54.831,0.04,133.464,24.763,33.369,13.523,34.595,0.443,23.076,31.158,-11.335,1.687,2.211,-0.403,"POLYGON ((38.249999126999938 3.2499997609999838, 38.333332459999937 3.2499997609999838, 38.333332459999937 3.3333330939999839, 38.249999126999938 3.3333330939999839, 38.249999126999938 3.2499997609999838))"
10230402,2.458,39.708,0.521,57.343,0.009,133.78,24.434,33.818,40.112,35.59,1.561,24.075,32.352,-39.591,0.36,1.465,-1.552,"POLYGON ((39.66666578799996 2.4166664309999888, 39.749999120999959 2.4166664309999888, 39.749999120999959 2.4999997639999889, 39.66666578799996 2.4999997639999889, 39.66666578799996 2.4166664309999888))"
10230419,3.708,36.875,0.688,68.266,0.01,137.433,25.207,34.079,11.055,37.904,0.332,23.26,32.198,-10.367,1.946,1.881,-0.322,"POLYGON ((36.833332465999945 3.6666664259999848, 36.916665798999944 3.6666664259999848, 36.916665798999944 3.7499997589999849, 36.833332465999945 3.7499997589999849, 36.833332465999945 3.6666664259999848))"
10230436,2.042,37.792,0.188,69.16,0.003,134.888,24.201,34.498,22.066,36.878,0.728,22.867,30.909,-21.879,1.334,3.589,-0.726,"POLYGON ((37.749999128999946 1.9999997659999877, 37.833332461999944 1.9999997659999877, 37.833332461999944 2.0833330989999879, 37.749999128999946 2.0833330989999879, 37.749999128999946 1.9999997659999877))"
10230581,3.125,39.375,1.25,54.295,0.023,129.56,23.988,33.029,24.723,33.48,0.906,22.548,30.876,-23.473,1.44,2.153,-0.883,"POLYGON ((39.333332455999965 3.0833330949999862, 39.416665788999964 3.0833330949999862, 39.416665788999964 3.1666664279999863, 39.333332455999965 3.1666664279999863, 39.333332455999965 3.0833330949999862))"
10230582,2.375,39.375,0,63.69,0,139.21,25.264,34.928,29.924,35.467,1.148,24.12,32.25,-29.924,1.145,2.678,-1.148,"POLYGON ((39.333332455999965 2.33333309799999, 39.416665788999964 2.33333309799999, 39.416665788999964 2.41666643099999, 39.333332455999965 2.41666643099999, 39.333332455999965 2.33333309799999))"
10230639,1.875,38.458,0.375,71.54,0.005,142.441,25.845,35.895,19.154,36.226,0.687,23.951,31.804,-18.779,1.894,4.091,-0.682,"POLYGON ((38.416665792999964 1.8333330999999902, 38.499999125999963 1.8333330999999902, 38.499999125999963 1.91666643299999, 38.416665792999964 1.91666643299999, 38.416665792999964 1.8333330999999902))"
10230680,2.708,38.208,0,70.432,0,136.625,24.766,34.27,9.515,37.126,0.299,23.09,31.068,-9.515,1.676,3.202,-0.299,"POLYGON ((38.166665793999954 2.6666664299999852, 38.249999126999953 2.6666664299999852, 38.249999126999953 2.7499997629999853, 38.166665793999954 2.7499997629999853, 38.166665793999954 2.6666664299999852))"
10230877,3.542,38.625,3,49.18,0.061,125.702,23.798,32.117,15.602,33.722,0.573,22.871,30.986,-12.602,0.927,1.131,-0.512,"POLYGON ((38.583332458999962 3.4999997599999872, 38.666665791999961 3.4999997599999872, 38.666665791999961 3.5833330929999874, 38.583332458999962 3.5833330929999874, 38.583332458999962 3.4999997599999872))"
10231115,1.042,38.958,0,69.377,0,140.35,25.222,35.859,15.401,36.205,0.549,24.168,32.366,-15.401,1.055,3.493,-0.549,"POLYGON ((38.916665790999957 0.99999976999998808, 38.999999123999956 0.99999976999998808, 38.999999123999956 1.083333102999988, 38.916665790999957 1.083333102999988, 38.916665790999957 0.99999976999998808))"
10231395,2.708,38.042,0,73.483,0,140.544,25.548,34.917,10.19,37.431,0.322,23.227,31.187,-10.19,2.32,3.73,-0.322,"POLYGON ((37.999999127999956 2.6666664299999852, 38.083332460999955 2.6666664299999852, 38.083332460999955 2.7499997629999853, 37.999999127999956 2.7499997629999853, 37.999999127999956 2.6666664299999852))"
10231402,2.125,38.542,0.75,65.908,0.011,142.672,25.986,35.688,11.762,36.276,0.427,23.975,31.804,-11.012,2.011,3.884,-0.415,"POLYGON ((38.499999125999949 2.0833330989999865, 38.583332458999948 2.0833330989999865, 38.583332458999948 2.1666664319999867, 38.499999125999949 2.1666664319999867, 38.499999125999949 2.0833330989999865))"
10231403,3.792,36.958,0.438,61.478,0.007,142.102,26.098,34.614,14.352,37.522,0.433,22.948,31.912,-13.915,3.15,2.702,-0.426,"POLYGON ((36.916665798999958 3.7499997589999836, 36.999999131999957 3.7499997589999836, 36.999999131999957 3.8333330919999837, 36.916665798999958 3.8333330919999837, 36.916665798999958 3.7499997589999836))"
10231412,1.875,39.125,0,67.371,0,140.161,25.282,35.479,30.737,36.148,1.218,24.279,32.362,-30.737,1.003,3.117,-1.218,"POLYGON ((39.083332456999955 1.8333330999999902, 39.166665789999954 1.8333330999999902, 39.166665789999954 1.91666643299999, 39.083332456999955 1.91666643299999, 39.083332456999955 1.8333330999999902))"
10231457,1.208,38.458,0.437,70.645,0.006,140.012,25.211,35.819,9.245,36,0.292,23.479,31.615,-8.808,1.732,4.203,-0.285,"POLYGON ((38.416665792999964 1.1666664359999857, 38.499999125999963 1.1666664359999857, 38.499999125999963 1.2499997689999855, 38.416665792999964 1.2499997689999855, 38.416665792999964 1.1666664359999857))"
10231468,0.875,38.042,0.813,64.27,0.013,129.234,23.089,33.887,12.621,34.917,0.417,21.637,30.215,-11.808,1.452,3.672,-0.405,"POLYGON ((37.999999127999956 0.8333331039999905, 38.083332460999955 0.8333331039999905, 38.083332460999955 0.91666643699999051, 37.999999127999956 0.91666643699999051, 37.999999127999956 0.8333331039999905))"
10231471,0.458,38.875,0.188,66.878,0.003,134.26,23.757,34.839,9.137,35.558,0.272,22.991,31.546,-8.95,0.767,3.293,-0.27,"POLYGON ((38.833332457999944 0.41666643899998945, 38.916665790999943 0.41666643899998945, 38.916665790999943 0.49999977199998946, 38.833332457999944 0.49999977199998946, 38.833332457999944 0.41666643899998945))"
10231774,2.292,38.625,0.5,61.751,0.008,140.509,25.581,35.017,14.845,36.016,0.493,23.874,31.734,-14.345,1.707,3.284,-0.485,"POLYGON ((38.583332458999962 2.2499997649999841, 38.666665791999961 2.2499997649999841, 38.666665791999961 2.3333330979999842, 38.583332458999962 2.3333330979999842, 38.583332458999962 2.2499997649999841))"
10232045,3.292,36.708,0.5,75.303,0.007,144.024,26.312,35.531,4.97,39.021,0.162,22.974,32.035,-4.47,3.338,3.495,-0.155,"POLYGON ((36.666665799999947 3.2499997609999838, 36.749999132999946 3.2499997609999838, 36.749999132999946 3.3333330939999839, 36.666665799999947 3.3333330939999839, 36.666665799999947 3.2499997609999838))"
10232046,1.625,38.292,0.688,72.934,0.009,140.181,25.217,35.774,23.64,36.474,0.817,23.657,31.597,-22.952,1.561,4.177,-0.807,"POLYGON ((38.249999126999938 1.5833331009999867, 38.333332459999937 1.5833331009999867, 38.333332459999937 1.6666664339999866, 38.249999126999938 1.6666664339999866, 38.249999126999938 1.5833331009999867))"
10232078,3.792,36.792,0.688,68.094,0.01,137.433,25.207,34.079,14.442,37.654,0.437,22.86,31.965,-13.755,2.346,2.113,-0.427,"POLYGON ((36.74999913299996 3.7499997589999836, 36.833332465999959 3.7499997589999836, 36.833332465999959 3.8333330919999837, 36.74999913299996 3.8333330919999837, 36.74999913299996 3.7499997589999836))"
