"locationid","latitude","longitude","CSUMPRE","CSUMPET","CPOVRPR","CSUMGDD1","CAvgMinT","CAvgMaxT","LTNSUMP","LTNSPET","LTNASPO","LTAvgMnT","LTAvgMxT","DFLTSUM","DFLTMinT","DFLTMaxT","DFLTPVP","shapewkt"
10319287,3.458,39.458,0.1,26.823,0.004,105.454,20.819,29.311,11.335,30.851,0.401,22.484,30.248,-11.235,-1.666,-0.938,-0.397,"POLYGON ((39.41666578899995 3.4166664269999885, 39.499999121999949 3.4166664269999885, 39.499999121999949 3.4999997599999886, 39.41666578899995 3.4999997599999886, 39.41666578899995 3.4166664269999885))"
10333609,3.458,39.375,0.2,27.366,0.007,105.825,20.773,29.463,10.25,34.082,0.365,22.49,30.289,-10.05,-1.717,-0.826,-0.358,"POLYGON ((39.333332455999965 3.4166664269999885, 39.416665788999964 3.4166664269999885, 39.416665788999964 3.4999997599999886, 39.333332455999965 3.4999997599999886, 39.333332455999965 3.4166664269999885))"
10489419,3.458,39.542,0.2,26.494,0.008,99.129,19.84,28.482,10.528,30.28,0.374,21.142,29.126,-10.328,-1.302,-0.644,-0.366,"POLYGON ((39.499999121999963 3.4166664269999885, 39.583332454999962 3.4166664269999885, 39.583332454999962 3.4999997599999886, 39.499999121999963 3.4999997599999886, 39.499999121999963 3.4166664269999885))"
10205427,3.542,39.625,0.4,26.703,0.015,102.679,20.41,28.927,5.622,33.896,0.195,21.856,29.811,-5.222,-1.446,-0.884,-0.18,"POLYGON ((39.583332454999947 3.4999997599999872, 39.666665787999946 3.4999997599999872, 39.666665787999946 3.5833330929999874, 39.583332454999947 3.5833330929999874, 39.583332454999947 3.4999997599999872))"
10209095,3.625,39.708,0.35,29.173,0.012,108.545,21.265,29.748,5.622,34.473,0.192,22.385,30.289,-5.272,-1.12,-0.541,-0.18,"POLYGON ((39.66666578799996 3.583333092999986, 39.749999120999959 3.583333092999986, 39.749999120999959 3.6666664259999862, 39.66666578799996 3.6666664259999862, 39.66666578799996 3.583333092999986))"
10226215,3.625,38.125,0.146,30.329,0.005,111.458,21.302,30.543,4.972,36.488,0.151,22.162,30.126,-4.827,-0.859,0.417,-0.146,"POLYGON ((38.083332460999941 3.583333092999986, 38.16666579399994 3.583333092999986, 38.16666579399994 3.6666664259999862, 38.083332460999941 3.6666664259999862, 38.083332460999941 3.583333092999986))"
10280360,3.375,39.458,0.3,28.078,0.011,109.176,21.335,29.859,10.626,34.128,0.376,22.526,30.343,-10.326,-1.192,-0.485,-0.365,"POLYGON ((39.41666578899995 3.3333330939999897, 39.499999121999949 3.3333330939999897, 39.499999121999949 3.41666642699999, 39.41666578899995 3.41666642699999, 39.41666578899995 3.3333330939999897))"
10310560,2.792,37.875,0,31.21,0,128.59,23.694,33.046,0,37.653,0,24.044,31.593,0,-0.35,1.452,0,"POLYGON ((37.833332461999959 2.7499997629999839, 37.916665794999957 2.7499997629999839, 37.916665794999957 2.8333330959999841, 37.833332461999959 2.8333330959999841, 37.833332461999959 2.7499997629999839))"
10310569,3.458,38.958,0.45,28.512,0.016,113.654,21.983,30.49,5.569,34.726,0.209,23.604,31.178,-5.119,-1.621,-0.688,-0.193,"POLYGON ((38.916665790999957 3.4166664269999885, 38.999999123999956 3.4166664269999885, 38.999999123999956 3.4999997599999886, 38.916665790999957 3.4999997599999886, 38.916665790999957 3.4166664269999885))"
10310617,1.292,36.625,19.975,27.426,0.728,71.91,14.957,25.458,10.457,28.763,0.412,15.277,24.648,9.518,-0.32,0.811,0.317,"POLYGON ((36.583332466999963 1.2499997689999844, 36.666665799999961 1.2499997689999844, 36.666665799999961 1.3333331019999843, 36.583332466999963 1.3333331019999843, 36.583332466999963 1.2499997689999844))"
10310637,2.708,39.958,0.083,29.737,0.003,121.45,23.389,31.311,6.807,36.09,0.212,24.291,32.127,-6.724,-0.902,-0.817,-0.209,"POLYGON ((39.916665786999943 2.6666664299999852, 39.999999119999941 2.6666664299999852, 39.999999119999941 2.7499997629999853, 39.916665786999943 2.7499997629999853, 39.916665786999943 2.6666664299999852))"
